subject,trial,lambda,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
4-6-0.5,4,6.000000e-01,0,0,1,1,0,1,0,1,1,0,0
4-6-0.5,5,6.000000e-01,1,0,0,1,1,1,1,0,0,1,0
4-6-0.5,6,6.000000e-01,0,1,1,1,1,1,1,0,0,1,0
4-6-0.5,7,6.000000e-01,0,0,1,1,0,1,1,0,0,1,1
4-6-0.5,8,6.000000e-01,1,0,0,1,1,1,0,0,1,1,0
4-6-0.5,9,6.000000e-01,0,1,1,0,0,1,0,1,1,1,1
4-6-0.5,10,6.000000e-01,0,0,1,1,1,1,1,0,0,1,1
4-7-0.5,1,7.000000e-01,1,0,1,1,1,1,1,0,1,1,0
4-7-0.5,2,7.000000e-01,1,0,1,1,1,1,0,1,1,1,0
4-7-0.5,3,7.000000e-01,0,1,1,1,0,1,1,0,1,1,1
4-7-0.5,4,7.000000e-01,1,0,1,1,0,1,0,1,1,1,0
4-7-0.5,5,7.000000e-01,1,0,1,1,1,1,1,0,1,1,0
4-7-0.5,6,7.000000e-01,0,1,1,1,1,1,1,0,1,1,0
4-7-0.5,7,7.000000e-01,1,0,1,1,0,1,1,0,1,1,1
4-7-0.5,8,7.000000e-01,1,0,1,1,1,1,1,0,1,1,0
4-7-0.5,9,7.000000e-01,0,1,1,1,0,1,0,1,1,1,1
4-7-0.5,10,7.000000e-01,1,0,1,1,1,1,1,0,1,1,1
4-8-0.5,1,8.000000e-01,1,0,1,1,1,1,1,0,1,1,1
4-8-0.5,2,8.000000e-01,1,1,1,1,1,1,0,1,1,1,1
4-8-0.5,3,8.000000e-01,0,1,1,1,0,1,1,1,1,1,1
4-8-0.5,4,8.000000e-01,1,0,1,1,0,1,0,1,1,1,0
4-8-0.5,5,8.000000e-01,1,1,1,1,1,1,1,1,1,1,0
4-8-0.5,6,8.000000e-01,0,1,1,1,1,1,1,1,1,1,0
4-8-0.5,7,8.000000e-01,1,0,1,1,1,1,1,1,1,1,1
4-8-0.5,8,8.000000e-01,1,1,1,1,1,1,1,0,1,1,0
4-8-0.5,9,8.000000e-01,0,1,1,1,0,1,0,1,1,1,1
4-8-0.5,10,8.000000e-01,1,0,1,1,1,1,1,1,1,1,1
4-9-0.5,1,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
4-9-0.5,2,9.000000e-01,1,1,1,1,1,1,0,1,1,1,1
4-9-0.5,3,9.000000e-01,0,1,1,1,1,1,1,1,1,1,1
4-9-0.5,4,9.000000e-01,1,1,1,1,0,1,0,1,1,1,1
4-9-0.5,5,9.000000e-01,1,1,1,1,1,1,1,1,1,1,0
4-9-0.5,6,9.000000e-01,0,1,1,1,1,1,1,1,1,1,0
4-9-0.5,7,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
4-9-0.5,8,9.000000e-01,1,1,1,1,1,1,1,1,1,1,0
4-9-0.5,9,9.000000e-01,0,1,1,1,1,1,0,1,1,1,1
4-9-0.5,10,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
4-10-0.5,1,1,1,1,1,1,1,1,1,1,1,1,1
4-10-0.5,2,1,1,1,1,1,1,1,1,1,1,1,1
4-10-0.5,3,1,1,1,1,1,1,1,1,1,1,1,1
4-10-0.5,4,1,1,1,1,1,1,1,1,1,1,1,1
4-10-0.5,5,1,1,1,1,1,1,1,1,1,1,1,1
4-10-0.5,6,1,1,1,1,1,1,1,1,1,1,1,1
4-10-0.5,7,1,1,1,1,1,1,1,1,1,1,1,1
4-10-0.5,8,1,1,1,1,1,1,1,1,1,1,1,1
4-10-0.5,9,1,1,1,1,1,1,1,1,1,1,1,1
4-10-0.5,10,1,1,1,1,1,1,1,1,1,1,1,1
5-1-0.5,1,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-1-0.5,2,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-1-0.5,3,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-1-0.5,4,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-1-0.5,5,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-1-0.5,6,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-1-0.5,7,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-1-0.5,8,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-1-0.5,9,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-1-0.5,10,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-2-0.5,1,2.000000e-01,0,0,1,0,0,1,0,0,0,0,0
5-2-0.5,2,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-2-0.5,3,2.000000e-01,0,0,0,0,0,1,0,0,1,0,0
5-2-0.5,4,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-2-0.5,5,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-2-0.5,6,2.000000e-01,0,0,0,0,0,1,0,0,1,0,0
5-2-0.5,7,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-2-0.5,8,2.000000e-01,0,0,1,0,0,1,0,0,0,0,0
5-2-0.5,9,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-2-0.5,10,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-3-0.5,1,3.000000e-01,0,0,1,0,0,1,0,0,0,0,0
5-3-0.5,2,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-3-0.5,3,3.000000e-01,0,0,0,0,0,1,0,0,1,0,0
5-3-0.5,4,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-3-0.5,5,3.000000e-01,0,0,1,0,0,1,0,0,0,0,0
5-3-0.5,6,3.000000e-01,0,0,0,0,0,1,0,0,1,0,0
5-3-0.5,7,3.000000e-01,0,0,1,0,0,1,0,0,0,0,0
5-3-0.5,8,3.000000e-01,0,0,1,0,0,1,0,0,0,0,0
5-3-0.5,9,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
5-3-0.5,10,3.000000e-01,0,0,1,0,0,1,0,0,0,0,0
5-4-0.5,1,4.000000e-01,0,1,1,0,0,1,1,0,1,0,0
5-4-0.5,2,4.000000e-01,0,1,0,0,0,1,1,0,1,0,0
5-4-0.5,3,4.000000e-01,1,0,1,0,0,1,0,1,1,0,0
5-4-0.5,4,4.000000e-01,1,0,1,0,0,1,0,1,0,1,0
5-4-0.5,5,4.000000e-01,0,0,1,0,0,1,0,1,0,0,0
5-4-0.5,6,4.000000e-01,0,0,0,1,0,1,0,0,1,0,0
5-4-0.5,7,4.000000e-01,0,1,1,0,0,1,0,0,0,1,0
5-4-0.5,8,4.000000e-01,0,0,1,0,0,1,0,0,0,1,0
5-4-0.5,9,4.000000e-01,1,0,1,0,0,1,1,0,1,0,0
5-4-0.5,10,4.000000e-01,0,1,1,0,0,1,1,0,1,0,0
5-5-0.5,1,5.000000e-01,0,1,1,0,0,1,1,0,1,0,0
5-5-0.5,2,5.000000e-01,0,1,1,0,0,1,1,0,1,0,0
5-5-0.5,3,5.000000e-01,1,0,1,0,0,1,0,1,1,0,0
5-5-0.5,4,5.000000e-01,1,0,1,0,0,1,0,1,1,1,0
5-5-0.5,5,5.000000e-01,0,0,1,0,0,1,0,1,1,0,0
5-5-0.5,6,5.000000e-01,0,0,1,1,0,1,0,0,1,0,0
5-5-0.5,7,5.000000e-01,0,1,1,0,0,1,0,0,1,1,0
5-5-0.5,8,5.000000e-01,0,0,1,0,0,1,0,0,1,1,0
5-5-0.5,9,5.000000e-01,1,0,1,0,0,1,1,0,1,0,0
5-5-0.5,10,5.000000e-01,0,1,1,0,0,1,1,0,1,0,0
5-6-0.5,1,6.000000e-01,0,1,1,0,0,1,1,0,1,0,0
5-6-0.5,2,6.000000e-01,0,1,1,1,0,1,1,0,1,0,0
5-6-0.5,3,6.000000e-01,1,0,1,0,0,1,0,1,1,0,0
5-6-0.5,4,6.000000e-01,1,0,1,0,0,1,0,1,1,1,0
5-6-0.5,5,6.000000e-01,1,0,1,0,0,1,0,1,1,1,0
5-6-0.5,6,6.000000e-01,1,0,1,1,0,1,1,0,1,0,0
5-6-0.5,7,6.000000e-01,0,1,1,0,0,1,1,0,1,1,0
5-6-0.5,8,6.000000e-01,1,0,1,0,0,1,1,0,1,1,0
5-6-0.5,9,6.000000e-01,1,0,1,0,0,1,1,0,1,0,0
5-6-0.5,10,6.000000e-01,0,1,1,0,0,1,1,0,1,0,0
5-7-0.5,1,7.000000e-01,0,1,1,0,0,1,1,0,1,0,0
5-7-0.5,2,7.000000e-01,0,1,1,1,0,1,1,0,1,0,0
5-7-0.5,3,7.000000e-01,1,0,1,0,0,1,0,1,1,0,0
5-7-0.5,4,7.000000e-01,1,0,1,0,0,1,0,1,1,1,0
5-7-0.5,5,7.000000e-01,1,0,1,0,0,1,0,1,1,1,0
5-7-0.5,6,7.000000e-01,1,0,1,1,0,1,1,0,1,0,0
5-7-0.5,7,7.000000e-01,0,1,1,0,0,1,1,0,1,1,0
5-7-0.5,8,7.000000e-01,1,0,1,0,0,1,1,0,1,1,0
5-7-0.5,9,7.000000e-01,1,0,1,0,0,1,1,0,1,0,0
5-7-0.5,10,7.000000e-01,0,1,1,0,0,1,1,0,1,0,0
5-8-0.5,1,8.000000e-01,0,1,1,1,0,1,1,1,1,0,0
5-8-0.5,2,8.000000e-01,0,1,1,1,0,1,1,1,1,0,0
5-8-0.5,3,8.000000e-01,1,1,1,1,0,1,0,1,1,1,0
5-8-0.5,4,8.000000e-01,1,1,1,0,0,1,0,1,1,1,1
5-8-0.5,5,8.000000e-01,1,0,1,0,0,1,0,1,1,1,0
5-8-0.5,6,8.000000e-01,1,0,1,1,1,1,1,0,1,1,0
5-8-0.5,7,8.000000e-01,0,1,1,0,0,1,1,0,1,1,1
5-8-0.5,8,8.000000e-01,1,0,1,1,0,1,1,0,1,1,1
5-8-0.5,9,8.000000e-01,1,1,1,1,0,1,1,1,1,1,0
5-8-0.5,10,8.000000e-01,0,1,1,0,0,1,1,1,1,0,0
5-9-0.5,1,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
5-9-0.5,2,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
5-9-0.5,3,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
5-9-0.5,4,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
5-9-0.5,5,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
5-9-0.5,6,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
5-9-0.5,7,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
5-9-0.5,8,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
5-9-0.5,9,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
5-9-0.5,10,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
5-10-0.5,1,1,1,1,1,1,1,1,1,1,1,1,1
5-10-0.5,2,1,1,1,1,1,1,1,1,1,1,1,1
5-10-0.5,3,1,1,1,1,1,1,1,1,1,1,1,1
5-10-0.5,4,1,1,1,1,1,1,1,1,1,1,1,1
5-10-0.5,5,1,1,1,1,1,1,1,1,1,1,1,1
5-10-0.5,6,1,1,1,1,1,1,1,1,1,1,1,1
5-10-0.5,7,1,1,1,1,1,1,1,1,1,1,1,1
5-10-0.5,8,1,1,1,1,1,1,1,1,1,1,1,1
5-10-0.5,9,1,1,1,1,1,1,1,1,1,1,1,1
5-10-0.5,10,1,1,1,1,1,1,1,1,1,1,1,1
6-1-0.5,1,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-1-0.5,2,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-1-0.5,3,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-1-0.5,4,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-1-0.5,5,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-1-0.5,6,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-1-0.5,7,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-1-0.5,8,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-1-0.5,9,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-1-0.5,10,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-2-0.5,1,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-2-0.5,2,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-2-0.5,3,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-2-0.5,4,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-2-0.5,5,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-2-0.5,6,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-2-0.5,7,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-2-0.5,8,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-2-0.5,9,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-2-0.5,10,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-3-0.5,1,3.000000e-01,0,1,0,0,0,1,0,0,0,0,0
6-3-0.5,2,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-3-0.5,3,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-3-0.5,4,3.000000e-01,0,1,0,0,0,1,0,1,0,0,0
6-3-0.5,5,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-3-0.5,6,3.000000e-01,0,0,0,0,0,1,0,1,0,0,0
6-3-0.5,7,3.000000e-01,0,1,0,0,0,1,0,0,0,0,0
6-3-0.5,8,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-3-0.5,9,3.000000e-01,0,1,0,0,0,1,0,0,0,0,0
6-3-0.5,10,3.000000e-01,0,0,0,0,0,1,0,1,0,0,0
6-4-0.5,1,4.000000e-01,0,1,0,0,0,1,0,0,0,1,0
6-4-0.5,2,4.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-4-0.5,3,4.000000e-01,0,0,0,1,0,1,0,0,0,0,0
6-4-0.5,4,4.000000e-01,0,1,0,0,0,1,0,1,0,1,0
6-4-0.5,5,4.000000e-01,0,0,0,1,0,1,0,0,0,0,0
6-4-0.5,6,4.000000e-01,0,0,0,1,0,1,0,1,0,0,0
6-4-0.5,7,4.000000e-01,0,1,0,1,0,1,0,0,0,0,0
6-4-0.5,8,4.000000e-01,0,0,0,1,0,1,0,0,0,1,0
6-4-0.5,9,4.000000e-01,0,1,0,0,0,1,0,0,0,0,0
6-4-0.5,10,4.000000e-01,0,0,0,1,0,1,0,1,0,0,0
6-5-0.5,1,5.000000e-01,0,1,1,0,0,1,0,0,1,1,0
6-5-0.5,2,5.000000e-01,0,0,0,0,0,1,0,0,0,0,0
6-5-0.5,3,5.000000e-01,0,0,1,1,0,1,0,0,0,0,0
6-5-0.5,4,5.000000e-01,0,1,1,0,0,1,0,1,1,1,0
6-5-0.5,5,5.000000e-01,0,0,0,1,0,1,0,0,0,0,0
6-5-0.5,6,5.000000e-01,0,0,1,1,0,1,0,1,1,0,0
6-5-0.5,7,5.000000e-01,0,1,1,1,0,1,0,0,1,0,0
6-5-0.5,8,5.000000e-01,0,0,0,1,0,1,0,0,1,1,0
6-5-0.5,9,5.000000e-01,0,1,1,0,0,1,0,0,0,0,0
6-5-0.5,10,5.000000e-01,0,0,1,1,0,1,0,1,1,0,0
6-6-0.5,1,6.000000e-01,0,1,1,1,0,1,0,0,1,1,0
6-6-0.5,2,6.000000e-01,1,0,0,1,0,1,1,0,0,1,0
6-6-0.5,3,6.000000e-01,0,0,1,1,0,1,1,0,0,1,0
6-6-0.5,4,6.000000e-01,0,1,1,1,0,1,0,1,1,1,0
6-6-0.5,5,6.000000e-01,1,0,0,1,1,1,1,0,0,1,0
6-6-0.5,6,6.000000e-01,0,0,1,1,1,1,0,1,1,0,0
6-6-0.5,7,6.000000e-01,0,1,1,1,0,1,0,0,1,1,0
6-6-0.5,8,6.000000e-01,1,0,0,1,1,1,0,0,1,1,1
6-6-0.5,9,6.000000e-01,0,1,1,0,0,1,1,0,0,1,0
6-6-0.5,10,6.000000e-01,0,0,1,1,0,1,0,1,1,1,0
6-7-0.5,1,7.000000e-01,0,1,1,1,0,1,1,0,1,1,1
6-7-0.5,2,7.000000e-01,1,1,1,1,0,1,1,1,1,1,0
6-7-0.5,3,7.000000e-01,1,0,1,1,1,1,1,1,1,1,0
6-7-0.5,4,7.000000e-01,0,1,1,1,0,1,0,1,1,1,1
6-7-0.5,5,7.000000e-01,1,1,1,1,1,1,1,1,1,1,0
6-7-0.5,6,7.000000e-01,1,0,1,1,1,1,0,1,1,1,0
6-7-0.5,7,7.000000e-01,0,1,1,1,1,1,1,0,1,1,0
6-7-0.5,8,7.000000e-01,1,1,1,1,1,1,1,0,1,1,1
6-7-0.5,9,7.000000e-01,0,1,1,1,0,1,1,1,1,1,0
6-7-0.5,10,7.000000e-01,1,0,1,1,1,1,0,1,1,1,0
6-8-0.5,1,8.000000e-01,0,1,1,1,0,1,1,0,1,1,1
6-8-0.5,2,8.000000e-01,1,1,1,1,0,1,1,1,1,1,0
6-8-0.5,3,8.000000e-01,1,0,1,1,1,1,1,1,1,1,0
6-8-0.5,4,8.000000e-01,0,1,1,1,0,1,0,1,1,1,1
6-8-0.5,5,8.000000e-01,1,1,1,1,1,1,1,1,1,1,0
6-8-0.5,6,8.000000e-01,1,0,1,1,1,1,0,1,1,1,0
6-8-0.5,7,8.000000e-01,0,1,1,1,1,1,1,0,1,1,0
6-8-0.5,8,8.000000e-01,1,1,1,1,1,1,1,0,1,1,1
6-8-0.5,9,8.000000e-01,0,1,1,1,0,1,1,1,1,1,0
6-8-0.5,10,8.000000e-01,1,0,1,1,1,1,0,1,1,1,0
6-9-0.5,1,9.000000e-01,0,1,1,1,0,1,1,1,1,1,1
6-9-0.5,2,9.000000e-01,1,1,1,1,0,1,1,1,1,1,0
6-9-0.5,3,9.000000e-01,1,1,1,1,1,1,1,1,1,1,0
6-9-0.5,4,9.000000e-01,0,1,1,1,0,1,0,1,1,1,1
6-9-0.5,5,9.000000e-01,1,1,1,1,1,1,1,1,1,1,0
6-9-0.5,6,9.000000e-01,1,1,1,1,1,1,0,1,1,1,1
6-9-0.5,7,9.000000e-01,0,1,1,1,1,1,1,1,1,1,0
6-9-0.5,8,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
6-9-0.5,9,9.000000e-01,0,1,1,1,1,1,1,1,1,1,0
6-9-0.5,10,9.000000e-01,1,1,1,1,1,1,0,1,1,1,0
6-10-0.5,1,1,1,1,1,1,1,1,1,1,1,1,1
6-10-0.5,2,1,1,1,1,1,1,1,1,1,1,1,1
6-10-0.5,3,1,1,1,1,1,1,1,1,1,1,1,1
6-10-0.5,4,1,1,1,1,1,1,1,1,1,1,1,1
6-10-0.5,5,1,1,1,1,1,1,1,1,1,1,1,1
6-10-0.5,6,1,1,1,1,1,1,1,1,1,1,1,1
6-10-0.5,7,1,1,1,1,1,1,1,1,1,1,1,1
6-10-0.5,8,1,1,1,1,1,1,1,1,1,1,1,1
6-10-0.5,9,1,1,1,1,1,1,1,1,1,1,1,1
6-10-0.5,10,1,1,1,1,1,1,1,1,1,1,1,1
7-1-0.5,1,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-1-0.5,2,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-1-0.5,3,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-1-0.5,4,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-1-0.5,5,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-1-0.5,6,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-1-0.5,7,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-1-0.5,8,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-1-0.5,9,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-1-0.5,10,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-2-0.5,1,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-2-0.5,2,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-2-0.5,3,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-2-0.5,4,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-2-0.5,5,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-2-0.5,6,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-2-0.5,7,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-2-0.5,8,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-2-0.5,9,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-2-0.5,10,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-3-0.5,1,3.000000e-01,0,1,0,0,0,1,0,1,0,0,0
7-3-0.5,2,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-3-0.5,3,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-3-0.5,4,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-3-0.5,5,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-3-0.5,6,3.000000e-01,0,1,0,0,0,1,0,0,0,0,0
7-3-0.5,7,3.000000e-01,0,0,0,0,0,1,0,1,0,0,0
7-3-0.5,8,3.000000e-01,0,0,0,0,0,1,0,1,0,0,0
7-3-0.5,9,3.000000e-01,0,1,0,0,0,1,0,0,0,0,0
7-3-0.5,10,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-4-0.5,1,4.000000e-01,0,1,1,0,0,1,0,1,0,0,0
7-4-0.5,2,4.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-4-0.5,3,4.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-4-0.5,4,4.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-4-0.5,5,4.000000e-01,0,0,1,1,0,1,0,0,0,0,0
7-4-0.5,6,4.000000e-01,0,1,1,0,0,1,0,0,0,0,0
7-4-0.5,7,4.000000e-01,0,0,0,0,0,1,0,1,1,0,0
7-4-0.5,8,4.000000e-01,0,0,1,1,0,1,0,1,0,0,0
7-4-0.5,9,4.000000e-01,0,1,1,1,0,1,0,0,0,0,0
7-4-0.5,10,4.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-5-0.5,1,5.000000e-01,0,1,1,0,0,1,0,1,0,0,0
7-5-0.5,2,5.000000e-01,0,0,0,1,0,1,0,0,0,1,0
7-5-0.5,3,5.000000e-01,0,0,0,1,0,1,0,0,0,0,0
7-5-0.5,4,5.000000e-01,0,0,0,0,0,1,0,0,0,1,0
7-5-0.5,5,5.000000e-01,0,0,1,1,0,1,0,0,0,1,0
7-5-0.5,6,5.000000e-01,0,1,1,0,0,1,0,0,0,1,0
7-5-0.5,7,5.000000e-01,0,0,0,0,0,1,0,1,1,0,0
7-5-0.5,8,5.000000e-01,0,0,1,1,0,1,0,1,0,1,0
7-5-0.5,9,5.000000e-01,0,1,1,1,0,1,0,0,0,0,0
7-5-0.5,10,5.000000e-01,0,0,0,0,0,1,0,0,0,0,0
7-6-0.5,1,6.000000e-01,0,1,1,1,0,1,0,1,1,1,1
7-6-0.5,2,6.000000e-01,1,0,0,1,0,1,1,0,1,1,0
7-6-0.5,3,6.000000e-01,1,0,0,1,0,1,1,0,0,1,1
7-6-0.5,4,6.000000e-01,1,0,0,1,1,1,1,0,1,1,0
7-6-0.5,5,6.000000e-01,1,0,1,1,0,1,1,0,0,1,0
7-6-0.5,6,6.000000e-01,0,1,1,1,0,1,1,0,0,1,0
7-6-0.5,7,6.000000e-01,1,0,0,1,1,1,0,1,1,1,0
7-6-0.5,8,6.000000e-01,1,0,1,1,0,1,0,1,1,1,0
7-6-0.5,9,6.000000e-01,0,1,1,1,0,1,1,0,1,1,1
7-6-0.5,10,6.000000e-01,1,0,0,1,1,1,1,0,0,1,1
7-7-0.5,1,7.000000e-01,0,1,1,1,0,1,0,1,1,1,1
7-7-0.5,2,7.000000e-01,1,0,1,1,0,1,1,0,1,1,0
7-7-0.5,3,7.000000e-01,1,0,1,1,0,1,1,0,1,1,1
7-7-0.5,4,7.000000e-01,1,0,1,1,1,1,1,0,1,1,0
7-7-0.5,5,7.000000e-01,1,0,1,1,0,1,1,0,1,1,0
7-7-0.5,6,7.000000e-01,0,1,1,1,0,1,1,0,1,1,0
7-7-0.5,7,7.000000e-01,1,0,1,1,1,1,0,1,1,1,0
7-7-0.5,8,7.000000e-01,1,0,1,1,0,1,0,1,1,1,0
7-7-0.5,9,7.000000e-01,0,1,1,1,0,1,1,0,1,1,1
7-7-0.5,10,7.000000e-01,1,0,1,1,1,1,1,0,1,1,1
7-8-0.5,1,8.000000e-01,0,1,1,1,0,1,0,1,1,1,1
7-8-0.5,2,8.000000e-01,1,1,1,1,0,1,1,0,1,1,0
7-8-0.5,3,8.000000e-01,1,1,1,1,0,1,1,1,1,1,1
7-8-0.5,4,8.000000e-01,1,1,1,1,1,1,1,0,1,1,0
7-8-0.5,5,8.000000e-01,1,0,1,1,1,1,1,1,1,1,0
7-8-0.5,6,8.000000e-01,0,1,1,1,0,1,1,1,1,1,0
7-8-0.5,7,8.000000e-01,1,1,1,1,1,1,0,1,1,1,0
7-8-0.5,8,8.000000e-01,1,0,1,1,1,1,0,1,1,1,0
7-8-0.5,9,8.000000e-01,0,1,1,1,1,1,1,0,1,1,1
7-8-0.5,10,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
7-9-0.5,1,9.000000e-01,0,1,1,1,1,1,0,1,1,1,1
7-9-0.5,2,9.000000e-01,1,1,1,1,0,1,1,1,1,1,0
7-9-0.5,3,9.000000e-01,1,1,1,1,0,1,1,1,1,1,1
7-9-0.5,4,9.000000e-01,1,1,1,1,1,1,1,1,1,1,0
7-9-0.5,5,9.000000e-01,1,1,1,1,1,1,1,1,1,1,0
7-9-0.5,6,9.000000e-01,0,1,1,1,1,1,1,1,1,1,0
7-9-0.5,7,9.000000e-01,1,1,1,1,1,1,0,1,1,1,1
7-9-0.5,8,9.000000e-01,1,1,1,1,1,1,0,1,1,1,0
7-9-0.5,9,9.000000e-01,0,1,1,1,1,1,1,1,1,1,1
7-9-0.5,10,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
7-10-0.5,1,1,1,1,1,1,1,1,1,1,1,1,1
7-10-0.5,2,1,1,1,1,1,1,1,1,1,1,1,1
7-10-0.5,3,1,1,1,1,1,1,1,1,1,1,1,1
7-10-0.5,4,1,1,1,1,1,1,1,1,1,1,1,1
7-10-0.5,5,1,1,1,1,1,1,1,1,1,1,1,1
7-10-0.5,6,1,1,1,1,1,1,1,1,1,1,1,1
7-10-0.5,7,1,1,1,1,1,1,1,1,1,1,1,1
7-10-0.5,8,1,1,1,1,1,1,1,1,1,1,1,1
7-10-0.5,9,1,1,1,1,1,1,1,1,1,1,1,1
7-10-0.5,10,1,1,1,1,1,1,1,1,1,1,1,1
8-1-0.5,1,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
8-1-0.5,2,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
8-1-0.5,3,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
8-1-0.5,4,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
8-1-0.5,5,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
8-1-0.5,6,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
8-1-0.5,7,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
